;677;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;6;;
;677;5124;IDEA Y DISENO DE EDIFICIOS;6;;
;677;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;677;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;7;;
;677;5127;ESTRUCTURA SISMORESISTENTE;7;;
;686;4705;INGLES TECNICO II;;;
;686;4706;EDUCACION FISICA V;;;
;686;4707;ASISTENCIA SOBRE APLICACIONES ESPECIFICAS;;;
;686;4708;ANALISIS MATEMATICO;;;
;686;4709;ECONOMIA;;;
;686;4710;INSTALACION Y REEMPLAZO DE COMPONENETES INTERNOS;;;
;686;4711;REDES DE COMUNICACIONES;;;
;686;4712;INSTALACION Y CONFIGURACION DE SOFTWARE;;;
;686;4713;PROGRAMACION II;;;
;686;4716;DISEÑO DE APLICACIONES INFORMATICAS I;;;
;686;5112;PRACTICAS PROFESIONALIZANTES I;;;
;688;5118;MARCO JURIDICO;6;;
;688;5119;EDUCACION FISICA;8;;
;688;5120;LENGUA EXTRANJERA INGLES TECNICO;7;;
;688;5121;PRACTICAS PROFESIONALIZANTES;;;
;688;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;8;;
;688;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;7;;-
;688;5124;IDEA Y DISENO DE EDIFICIOS;7;;
;688;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;688;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;6;;
;688;5127;ESTRUCTURA SISMORESISTENTE;8;;
;691;5118;MARCO JURIDICO;8;;
;691;5119;EDUCACION FISICA;8;;
;691;5120;LENGUA EXTRANJERA INGLES TECNICO;8;;
;691;5121;PRACTICAS PROFESIONALIZANTES;;;
;691;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;7;;
